street_name,town,lat,lng
FRENCH RD,KALLANG/WHAMPOA,1.3078243,103.8611394
GLOUCESTER RD,KALLANG/WHAMPOA,1.3129226,103.8520501
KG ARANG RD,KALLANG/WHAMPOA,1.3001369,103.8822052
MOULMEIN RD,KALLANG/WHAMPOA,1.3190419,103.8484817
KENT RD,KALLANG/WHAMPOA,1.3162604,103.8521212
AH HOOD RD,KALLANG/WHAMPOA,1.3276907,103.8467576
SERANGOON NTH AVE 2,SERANGOON,1.3646658,103.872273
TAMPINES CTRL 1,TAMPINES,1.3545669,103.9452518
TAMPINES AVE 7,TAMPINES,1.3566358,103.9510693
LOR 1A TOA PAYOH,TOA PAYOH,1.337022,103.8448183
WOODLANDS AVE 9,WOODLANDS,1.4482076,103.798614
YISHUN CTRL 1,YISHUN,1.4284719,103.8373172
LOWER DELTA RD,BUKIT MERAH,1.2806387,103.8236385
JLN DUA,GEYLANG,1.3090267,103.887611
WOODLANDS ST 11,WOODLANDS,1.4334437,103.7756533
ANG MO KIO AVE 2,ANG MO KIO,1.3727518,103.8331481
SELEGIE RD,CENTRAL AREA,1.3030725,103.850061
SIMS AVE,GEYLANG,1.3160592,103.8878591
REDHILL LANE,BUKIT MERAH,1.2881024,103.8186716
KING GEORGE'S AVE,KALLANG/WHAMPOA,1.3088963,103.8606542
PASIR RIS ST 41,PASIR RIS,1.3727321,103.9588154
PUNGGOL WALK,PUNGGOL,1.4045898,103.9002053
LIM LIAK ST,BUKIT MERAH,1.2852747,103.831512
JLN BERSEH,CENTRAL AREA,1.3074135,103.8573135
SENGKANG WEST WAY,SENGKANG,1.3952267,103.8772038
BUANGKOK GREEN,HOUGANG,1.3793342,103.8826989
SEMBAWANG WAY,SEMBAWANG,1.4485106,103.8164795
PUNGGOL WAY,PUNGGOL,1.4105803,103.8997945
YISHUN ST 31,YISHUN,1.431542,103.8458237
TECK WHYE CRES,CHOA CHU KANG,1.3826654,103.7529194
KRETA AYER RD,CENTRAL AREA,1.2810807,103.8421525
MONTREAL LINK,SEMBAWANG,1.4507066,103.8269831
UPP SERANGOON CRES,HOUGANG,1.3773101,103.900557
SUMANG LINK,PUNGGOL,1.4104442,103.9001695
SENGKANG EAST AVE,SENGKANG,1.3866378,103.8934541
YISHUN AVE 1,YISHUN,1.4199951,103.8435885
ANCHORVALE CRES,SENGKANG,1.398666,103.8907686
YUNG KUANG RD,JURONG WEST,1.3315525,103.7231225
ANCHORVALE ST,SENGKANG,1.3972468,103.8891036
TAMPINES CTRL 8,TAMPINES,1.3566321,103.9405599
YISHUN ST 51,YISHUN,1.4163675,103.843359
UPP SERANGOON VIEW,HOUGANG,1.3748698,103.903101
TAMPINES AVE 1,TAMPINES,1.3464261,103.9338822
BEDOK RESERVOIR CRES,BEDOK,1.3363313,103.9204707
ANG MO KIO ST 61,ANG MO KIO,1.380979,103.8411747
DAWSON RD,QUEENSTOWN,1.2947656,103.8106115
FERNVALE ST,SENGKANG,1.3982639,103.880279
SENG POH RD,BUKIT MERAH,1.284938,103.8330175
HOUGANG ST 32,HOUGANG,1.3632819,103.8941426
TAMPINES ST 86,TAMPINES,1.3529253,103.9291632
HENDERSON RD,BUKIT MERAH,1.2804105,103.8176054
SUMANG WALK,PUNGGOL,1.4082573,103.895989
CHOA CHU KANG AVE 7,CHOA CHU KANG,1.3749472,103.7466605
KEAT HONG CL,CHOA CHU KANG,1.3744652,103.7425722
JURONG WEST CTRL 3,JURONG WEST,1.3405785,103.7062591
KEAT HONG LINK,CHOA CHU KANG,1.3756913,103.7488088
ALJUNIED AVE 2,GEYLANG,1.3209156,103.8870987
CANBERRA CRES,SEMBAWANG,1.4467709,103.8299021
SUMANG LANE,PUNGGOL,1.4024854,103.8924562
CANBERRA ST,SEMBAWANG,1.4482378,103.8323708
ANG MO KIO ST 44,ANG MO KIO,1.3663588,103.8574991
WOODLANDS RISE,WOODLANDS,1.4466288,103.8043849
CANBERRA WALK,SEMBAWANG,1.4474469,103.8299003
ANG MO KIO ST 51,ANG MO KIO,1.3710282,103.8541658
